ALL	0.9254873010184894	0.9239097433264626	0.9270648587105162
AMC	0.8529101903717994	0.8423594169898508	0.8634609637537479
AMK	0.9022122893647341	0.8963199089878536	0.9081046697416145
AMP	0.9527938261329443	0.9423899608239055	0.9631976914419831
AMX	0.8597662373014827	0.829184527959907	0.8903479466430584
ATM	0.9210754669878062	0.9076243496142125	0.9345265843613999
AZM	0.9491043758777856	0.9258423613132842	0.972366390442287
CAP	0.844147931147225	0.8251559427946598	0.8631399194997902
CAZ	0.9379222079208468	0.9302993884837899	0.9455450273579037
CEF	0.893379578842841	0.8428950211552861	0.9438641365303959
CFM	0.9366056424697742	0.9159541718628963	0.9572571130766521
CFZ	0.8834770405465608	0.8393243630673269	0.9276297180257947
CHL	0.921245055829292	0.9143352162161272	0.9281548954424567
CIP	0.950114107230009	0.9460598368812071	0.9541683775788109
CLI	0.920867413087981	0.8997864866250426	0.9419483395509195
CLR	0.9841995841995843	0.9662901452078908	1.002109023191278
CPM	1.0	1.0	1.0
CRO	0.9787908245255432	0.9754989751867165	0.98208267386437
CST	0.7799306444216347	0.7202420336515251	0.8396192551917444
CTX	0.9531596442605119	0.939041272650619	0.9672780158704049
CXM	0.9549306369628472	0.939268443571777	0.9705928303539174
CZA	0.9148061457992809	0.8516385218262348	0.977973769772327
DCS	0.7104764535162583	0.6698079801391515	0.7511449268933651
EMB	0.8406911253398649	0.8347900464663404	0.8465922042133894
ERY	0.9340277142473654	0.9161797335205941	0.9518756949741367
ETO	0.7961521813767948	0.7228351095777832	0.8694692531758064
ETP	0.9579387683962493	0.9456598246554764	0.9702177121370221
FA	0.8817906756286378	0.84354003526831	0.9200413159889655
FEP	0.9190157422274924	0.9151708430956663	0.9228606413593184
FIS	0.9507186037782663	0.9420585732754367	0.9593786342810959
FOX	0.9268898954362929	0.9171326657192864	0.9366471251532993
GEN	0.9230538294664316	0.9142495010152698	0.9318581579175933
INH	0.8833685150069815	0.8731677235888908	0.8935693064250723
IPM	0.9533725892675726	0.9458744602895603	0.9608707182455849
KAN	0.8549124725293666	0.8152054323597162	0.8946195126990171
LVX	0.8882028301941333	0.871183090807151	0.9052225695811156
LZD	0.9482391649398707	0.9105051008629812	0.9859732290167602
MEM	0.9315371463663821	0.9224883881047755	0.9405859046279886
MET	0.9820776243011217	0.9737437547926152	0.9904114938096281
MXF	0.8826007100846534	0.8523261786936472	0.9128752414756595
NAL	0.8639215258510564	0.8240564097974357	0.9037866419046772
NAM	0.7907452454666076	0.6270106409809939	0.9544798499522213
NIT	0.8080641903067864	0.7787619578278063	0.8373664227857666
NOR	0.9072002231232814	0.8527072856493105	0.9616931605972523
OFX	0.7875678524571019	0.7224208222664267	0.8527148826477772
OXA	0.8813197846521653	0.8134762743767914	0.9491632949275393
PAS	0.7206860216647502	0.6431641157067739	0.7982079276227264
PEN	0.9176161369249515	0.8959226067893835	0.9393096670605194
PZA	0.8271462019756772	0.8195798537299457	0.8347125502214088
RIF	0.9180562828522397	0.9100327681658348	0.9260797975386447
SAM	0.9193855355722793	0.8985666438681315	0.9402044272764272
SPT	0.92213601964316	0.8739122296053679	0.9703598096809523
STR	0.881387896718049	0.8683700862732731	0.8944057071628249
SXT	0.9273639224367279	0.9222739861668101	0.9324538587066458
TEL	0.9124148491491375	0.8655593558027971	0.9592703424954779
TET	0.9090343915619605	0.901710161171293	0.9163586219526281
TGC	0.868683905967066	0.8574616196588289	0.8799061922753031
TIM	0.9638743961352656	0.9013983659664613	1.02635042630407
TIO	0.9555670629490226	0.9471306189117148	0.9640035069863304
TMO	0.9862208713272544	0.9627933425102527	1.0096484001442563
TMP	0.8356264031053154	0.7971763049730896	0.8740765012375413
TOB	0.9209024100134459	0.9123840242300176	0.9294207957968741
TZP	0.893288286139897	0.881767672174707	0.904808900105087
VAN	0.9243698100788336	0.9030147746185072	0.9457248455391599
