Antibiotic	Acc	Conf_low	Conf_high	Count
AMC	0.8946278931844898	0.8684691879575214	0.9207865984114582	1092
AMK	0.9471189590753267	0.9389979626983755	0.9552399554522779	4198
AMP	0.9502925203365731	0.941434596644811	0.9591504440283352	5673
AMX	0.398838004101162	0.3483648987669367	0.44931110943538727	381
ATM	0.9456652725742858	0.9361494137705596	0.955181131378012	2356
AZM	0.9464939024390244	0.9344790204566801	0.9585087844213688	1439
CAZ	0.8547740776055637	0.8467154181722365	0.8628327370388909	3429
CFM	0.9277857028665594	0.9155806470343101	0.9399907586988087	3490
CFZ	0.9533182011632855	0.9407386792495802	0.9658977230769907	1328
CHL	0.9631892412521095	0.9546914713223693	0.9716870111818496	2689
CIP	0.892499631459873	0.8863596176357653	0.8986396452839807	12428
CLI	0.9651179636011851	0.9543959846552881	0.9758399425470821	745
CRO	0.9357366245085288	0.9314010893944688	0.9400721596225888	9912
CST	0.8582592061214729	0.8301577349993641	0.8863606772435817	1023
CTX	0.8882807683098382	0.8757849856453375	0.9007765509743388	1289
CXM	0.9848565211478307	0.9727792603499296	0.9969337819457319	858
EMB	0.0	0.0	0.0	685
ERY	0.8869532217425347	0.8687612125817835	0.9051452309032858	1415
ETP	0.8881553210506011	0.8448354615493746	0.9314751805518277	499
FEP	0.9078638128124876	0.8980115966068404	0.9177160290181349	2138
FIS	0.9176066112181832	0.898077734522694	0.9371354879136724	837
FLF	0.9832446808510639	0.9494949381486602	1.0169944235534676	239
FOX	0.927057852844108	0.9131323079832492	0.9409833977049669	2028
GEN	0.928329436087156	0.9194938281104711	0.9371650440638409	6781
INH	0.7794727082157543	0.7645149498375056	0.7944304665940031	789
IPM	0.9405061350861692	0.9296738852930013	0.9513383848793371	3261
KAN	0.9606274509803923	0.9308061996971213	0.9904487022636632	254
LVX	0.9534332406174535	0.9477041737109577	0.9591623075239493	3436
MEM	0.8867918438087468	0.8780382450428029	0.8955454425746906	3445
NAL	0.9263476091827675	0.9083704854446252	0.9443247329209098	1086
NIT	0.9873517786561266	0.9732980846268825	1.0014054726853707	1265
PEN	0.8562807002895901	0.7832159226123534	0.9293454779668269	290
PZA	0.0	0.0	0.0	87
RIF	0.9843373493975903	0.9671173181265841	1.0015573806685965	830
SAM	0.9817351598173515	0.972997567422934	0.990472752211769	2190
SPT	0.9786134409119208	0.9634052435374025	0.9938216382864391	841
STR	0.9347807171432386	0.9160621911079374	0.9534992431785398	1533
SXT	0.8974007759101523	0.8912693393670822	0.9035322124532225	5887
TEL	0.9747340425531915	0.9528567518758846	0.9966113332304984	237
TET	0.8833752533232297	0.8732258181937986	0.8935246884526609	4973
TGC	0.8673951384096312	0.8413502235947482	0.8934400532245143	807
TIO	0.9437696036498432	0.9292116075240058	0.9583275997756806	836
TOB	0.9388709407395794	0.9265524902123193	0.9511893912668395	3648
TZP	0.9040504706057909	0.8906865058536302	0.9174144353579516	2668
all	0.9124816028106156	0.9110396755163038	0.9139235301049274	105315
